droughtDate,droughtLvl,areaPct,fireName,county,acres,fireDate,countyList,countyCount
12/05/2020,D2,20.84,Goose,Fresno,"2,241",30/07/2016,,
12/05/2020,D3,2.99,Cold,Yolo,"5,731",02/08/2016,,
12/05/2020,D4,0,Pilot,San Bernardino,"8,110",07/08/2016,,
05/05/2020,D0,58.2,Mineral,Fresno,"7,050",09/08/2016,,
05/05/2020,D1,42.87,Chimney,San Luis Obispo,"46,344",13/08/2016,,
05/05/2020,D2,19.56,Clayton,Lake,"3,929",13/08/2016,,
05/05/2020,D3,3.94,Blue Cut,San Bernardino,"36,274",16/08/2016,,
05/05/2020,D4,0,Cedar,Kern,"29,322",16/08/2016,,
28/04/2020,D0,58.2,Rey,Santa Barbara,"32,606",18/08/2016,,
28/04/2020,D1,41.58,Gap,Siskiyou,"33,867",27/08/2016,,
28/04/2020,D2,19.59,Bogart,Riverside,"1,470",30/08/2016,,
28/04/2020,D3,4.66,Willard,Lassen,"2,575",11/09/2016,,
28/04/2020,D4,0,Owens River,Mono,"5,443",17/09/2016,,
21/04/2020,D0,58.2,Canyon,Santa Barbara,"12,518",17/09/2016,,
21/04/2020,D1,35.7,Sawmill,Sonoma,"1,547",25/09/2016,,
21/04/2020,D2,19.59,Marshes,Tuolumne,"1,080",26/09/2016,,
21/04/2020,D3,4.66,Loma,Santa Clara,"4,474",26/09/2016,,
21/04/2020,D4,0,Round,Inyo,"7,000",06/02/2015,,
14/04/2020,D0,58.2,Highway,Riverside,"1,049",18/04/2015,,
14/04/2020,D1,35.7,Lake,San Bernardino,"31,359",17/06/2015,,
14/04/2020,D2,12.83,Park Hill,San Luis Obispo,"1,791",20/06/2015,,
14/04/2020,D3,0,North,San Bernardino,"4,250",17/07/2015,,
14/04/2020,D4,0,Wragg,Napa,"8,051",22/07/2015,,
07/04/2020,D0,67.71,Rocky,Lake,"69,438",29/07/2015,,
07/04/2020,D1,43.31,Fork Complex,Shasta,"36,503",30/07/2015,,
07/04/2020,D2,1.3,River Complex,Trinity,"77,081",30/07/2015,,
07/04/2020,D3,0,Frog,Lassen,"4,863",30/07/2015,,
07/04/2020,D4,0,Humboldt Lightning,Humboldt,"4,883",30/07/2015,,
31/03/2020,D0,75.14,Mad River Complex,Humboldt,"73,137",30/07/2015,,
31/03/2020,D1,43.31,Rough,Fresno,"151,623",31/07/2015,,
31/03/2020,D2,1.3,Dodge,Lassen,"10,570",03/08/2015,,
31/03/2020,D3,0,Gasquet,Del Norte,"30,361",03/08/2015,,
31/03/2020,D4,0,Jerusalem,Lake,"25,118",09/08/2015,,
24/03/2020,D0,75.14,Cabin,Glendora,"1,723",14/08/2015,,
24/03/2020,D1,40.42,Cuesta,San Luis Obispo,"2,446",16/08/2015,,
24/03/2020,D2,1.3,Tesla,Alameda,"2,700",19/08/2015,,
24/03/2020,D3,0,Butte,Amador,"70,868",09/09/2015,,
24/03/2020,D4,0,Valley,Lake,"76,067",12/09/2015,,
17/03/2020,D0,75.36,Tassajara,Monterey,"1,086",19/09/2015,,
17/03/2020,D1,47.59,Solimar,Ventura,"1,388",25/12/2015,,
17/03/2020,D2,1.26,Soda,Tulare,"1,612",14/01/2014,,
17/03/2020,D3,0,Colby,Los Angeles,"1,952",16/01/2014,,
17/03/2020,D4,0,Etiwanda,San Bernardino,"2,200",30/04/2014,,
10/03/2020,D0,78.5,Bernardo,San Diego,"1,548",13/05/2014,,
